"","image","RoiNo","gene_fitc","gene_cy3","gene_af647","Channel","Area","Mean","StdDev","Mode","Min","Max","IntDen","Median","Skew","Kurt","frArea","RawIntDen","MinThr","MaxThr","li_thr_Area","li_thr_Mean","li_thr_StdDev","li_thr_Mode","li_thr_Min","li_thr_Max","li_thr_IntDen","li_thr_Median","li_thr_Skew","li_thr_Kurt","li_thr_frArea","li_thr_RawIntDen","li_thr_MinThr","li_thr_MaxThr","logicFISH"
"1","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0001","LRIG1","0","0","FITC",66.04,742.24,1913.55,0,0,17683,49020.44,0,4.67,29.83,30.55,471322,0,65535,14.56,3235.99,2934.14,1039,792,17683,47118.79,2356,2.8,9.77,22.05,453038,771,65535,"positive"
"2","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0005","LRIG1","0","0","FITC",115.55,171.94,724.01,0,0,7598,19867.48,0,5.51,34.93,9.99,191022,0,65535,7.07,2576.99,1525.01,853,853,7598,18225.54,2263,1.07,1.03,6.12,175235,771,65535,"positive"
"3","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0006","LRIG1","0","0","FITC",36.71,747.97,2290.99,0,0,18483,27460.98,0,4.55,24.88,20.11,264032,0,65535,5.93,4527.32,3949.22,1209,804,18483,26839.54,3235,1.87,3.47,16.15,258057,771,65535,"positive"
"4","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0010","0","0","0","FITC",70.72,180.95,1090.9,0,0,13882,12797.87,0,8.56,86.59,5.44,123049,0,65535,2.91,4292.21,3405.76,1990,1276,13882,12499.68,3228,1.66,2.06,4.12,120182,771,65535,"negative"
"5","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0013","LRIG1","LGR5","0","FITC",40.35,113.06,376.74,0,0,2913,4562.65,0,4.61,24.35,16.75,43869,0,65535,2.18,1475.19,655.63,1077,777,2913,3222.01,1198,1.12,-0.1,5.41,30979,771,65535,"positive"
"6","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0016","0","0","0","FITC",47.22,283.03,1629.36,0,0,18517,13364.49,0,7.83,67.08,10.13,128497,0,65535,2.29,5472.68,5237.67,792,792,18517,12522.25,3810,1.11,0.05,4.85,120399,771,65535,"negative"
"7","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0019","LRIG1","LGR5","0","FITC",53.36,610.93,1925.59,0,0,14774,32596.5,0,3.9,16.24,17.54,313409,0,65535,6.76,4663.6,3236.87,1734,815,14774,31527.83,4008,0.86,0.1,12.67,303134,771,65535,"positive"
"8","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0022","LRIG1","0","0","FITC",50.55,201.64,835.13,0,0,6621,10192.51,0,5.07,27.36,10.49,97999,0,65535,3.33,2885.72,1692.6,1385,870,6621,9604.25,2522,0.68,-0.7,6.58,92343,771,65535,"positive"
"9","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0025","LRIG1","LGR5","0","FITC",55.44,474.74,1557.17,0,0,17003,26317.22,0,5.62,41.42,21.01,253035,0,65535,7.49,3296.07,2954.8,923,788,17003,24682.45,2229,2.46,7.13,13.51,237317,771,65535,"positive"
"10","FITC_SME_Normalized_Composite_MkyFISH_SVZa_BrdU_slide44_LRIG1-fitc_Igr5-cy3_BrdU-af647_DAPI_40x_Z_pos3.tif","0028","LRIG1","0","0","FITC",101.2,345.02,948.06,0,0,8013,34915.53,0,3.87,19.03,20.35,335706,0,65535,14.14,2304.16,1377.76,1165,782,8013,32592.03,2003,2.01,4.94,13.98,313366,771,65535,"positive"
